Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
Untitled (Lions: pair),1939,In place,,"""Thank God I have work now. I am modeling a Lion for Vancouver's suspension bridge. I had much trouble to get the work. The engineer is from Montreal, and wanted the Lion to modeled in Montreal. But the president of the bridge committee, who is a long-standing friend of mine, and his wife a good friend of mamas, finally assigned the work to me. I would have preferred the Lions to be in bronze or stone - but it has to be cheap - so they will be done in concrete which annoys me, as I could otherwise have made both Lions from one model. However I have to content myself to get work at all."" - letter from Charles Marega dated August 1938, quoted in BC Historical News 8:22-26, June 1975",Lions Gate Bridge,Stanley Park,Stanley Park,49.311866,-123.141931
Pauline Johnson Memorial,1922,In place,"This memorial cairn includes a bronze plaque on natural rock. It marks the resting place of Johnson's ashes.  The poet had in fact specifically asked that no memorial be raised.  (from E.Godley, Public & Office Building Art in Greater Vancouver, The Greater Vancouver Book)","Pauline Johnson was well known in her time for her poetry based in Indian legends.She was born in 1861, the granddaughter of a Mohawk chief. She died of breast cancer in 1913. (Vancouver Sun, April 7, 2001, H5)",Ferguson Point,Stanley Park,Stanley Park,49.301409,-123.156609
David Oppenheimer,1911,In place,"A Heritage Monument, this bronze bust commemmorates Vancouver's second mayor (1888-92).","In the fall of 1909 a committee was formed to build a memorial to David Oppenheimer, former Mayor of Vancouver. Oppenheimer was an entrepreneur from Germany and served four 1-year terms as Mayor. He donated land for city parks and for the Rogers sugar refinery. The memorial committee planned to hire Augustus St. Gaudens to build a memorial gate to connect Stanley Park to the City in honour of Oppenheimer but they found out St. Gaudens was dead.  Charles Marega was new to Vancouver and had his first exhibition here with the Studio Club in October of 1909, showing small wax figures. Art critic Felix Penne (Francis Bursill) wrote in Vancouver World, ""These have the right feeling and directness of life and there is every indication the sculptor is capable of broader and more ambitious work - which I shall be glad to see.  Soon Vancouver will not have to propose dead sculptors to design memorials - there are and will be living and capable sculptors nearer home than on the other bank of the Styx.."" The original budget for the project was $50,000, but by the time Marega was commissioned in 1910, the project had become a bust for $4500, of which Marega was paid $3600 and the balance paid for an elaborate unveiling ceremony.  (BC Historical News 8:22-26, June 1975)",Stanley Park,Beach Avenue entrance to Stanley Park,Stanley Park,49.290439,-123.146003
Untitled,1970,In place,,,Our Lady of Fatima Church,1457 E.13th Avenue,Kensington-Cedar Cottage,49.258796,-123.074643
Wind Blown Mounds,1975,In place,,,Granville Gardens,1616 West 13th Avenue (at Fir),Fairview,49.25976,-123.141344
Knife Edge Two Piece,1969,In place,The two large abstract forms are cast in bronze.,,Queen Elizabeth Park,33rd & Cambie Street,,49.241656,-123.11338
Gates,1986,In place,The piece is a silhouette of the mountain skyline with the city buildings superimposed on it.,The sculpture was produced as part of the City Shapes Sculpture Symposium in 1986 for Vancouver's centennial.,Kensington Park,Knight & 33rd Avenue,Kensington-Cedar Cottage,49.237432,-123.076377
The Crab,1968,In place,"The 20' high, stainless steel fountain sculpture is made of many separate parts in the shape of a crab.  It is sited in front of the Vancouver Museum/Planetarium.","The sculpture was chosen over two other entries in a contest held by the women's sub-committee of the Vancouver Centennial Committee. $27000 for the sculpture was raised through luncheons and fashion shows and a $20000 grant was received from the Centennial Committee.   The sculpture cost $20000 and the fountain infrastructure cost $24000. The crab represents the First Nations legend of the crab as the guardian of the harbour and was also the zodiac sign at the time of the Canadian Centennial. The pieces of the sculpture were welded together by Gus Lidberg over a three-month period. The sculpture was barged down False Creek from Ellett Copper and Brass Co on W.2nd where it was built. (M.Jesen, Vancouver Sun, Oct 3 1968)",Vanier Park,1100 Chestnut Street,Kitsilano,49.276076,-123.144503
Discus Thrower,1969,In place,,,Vanier Park,1100 Chestnut Street,Kitsilano,49.276484,-123.143789
Gate to the Northwest Passage,1980,In place,"The large steel sculpture is set on a 26' x 28' plaza of paving stones. The sculpture consists of a 15' square of corten steel. Each side of the square is 15' long by 3'  high by 3' wide. The bottom side appears to be cut apart in the middle and the two parts wrenched apart to form a gate or arch.  The corten steel is designed so that the surface rust forms a protective coating.  There was some adverse reaction from Kits Point residents when the work was installed. Michael Duncan, Chief Curator of the Maritime Museum at the time, called it ""a bloody monstrosity."" An article in the Globe and Mail teased that it could be ""the world's largest paper clip."" The article (Mar3, 1981) also quoted from a city planning study which read: ""Vancouver's peerless natural setting is a permanent gift from nature. So massive and close are the North Shore mountains that no amount of human folly can ever obliterate them.""  But the controversy soon abated and the piece has weathered time and opinion. It was vandalized on July 4th, 1988, when a field of white dots were painted on its surfaces -probably as an art ""intervention"". The dots were soon removed. Since then, the ""Gate to the Northwest Passage"" has become a familiar landmark, an important place marker which stands guard at the entrance to False Creek. The area around the site is a favorite for kite flyers.","The parameters for the juried competition operated by Parks Canada were to create ""a monument in Vanier Park to commemorate Captain George Vancouver,"" the first European to sail into Burrard Inlet, in 1792. The competition guidelines (1979) specified a sculpture made of permanent materials, ""not wood,"" and that it should not be in the likeness of a man. The form of the work takes off from two 18th century navigational instruments: the plane table and David's quadrant.  Chung Hung said that, ""The objective of the sculpture is to create a symbolic image with definite visual expression, awakening an awareness in Captain George Vancouver's contribution to the world, his remarkable and meticulous surveys which included the north Pacific coast."" The piece frames English Bay from the north view and the Centennial Museum from the south view. The opportunity for a sculpture was offered to the city by Hugh Faulkner, Minister of Indian and Northern Affairs at the time. The project was recommended by the Historic Sites and Monuments Board of Canada.  A five-member jury headed by former parks superintendent Stuart Lefeaux selected Chung Hung's proposal from a local competition and the Parks Board approved the choice. Gordon Smith, a member of the selection panel, said that ""If people think Hung's sculpture is a poor catch, they should have seen the ones that got away.""  It was originally to be sited at Ferguson Point in Stanley Park.",Vanier Park,1100 Chestnut Street,Kitsilano,49.278127,-123.144964
Clouds,1991,In place,"This sky-scraper's head is always in the clouds, in this instance, cut-out shapes by artist Chung Hung.",Architect Bing Thom commissioned this work for the building. The work was funded by the Pacific Continental Investment Company.,,983 Howe Street,Downtown,49.280618,-123.123447
Untitled (ceramic mosaic),1958,In place,The wandering association of rectangular enamel tiles represents the various departments of the university.,,Brock Hall Annex,,,49.269046,-123.252618
Thunderbird,1948,In place,"""The pole tells of  the five tests of Tsikumin, chief shaman of the Red Cedar Bark Dance and founder of Qui-Owa Sutinuk, ancestors of the carver. The Red Cedar Bark Dance was performed in Kitsilano Park during Vancouver's Jubilee in 1936."" -from UBC Archives - Campus Sculptures",The totem was purchased by the Alma Mater Society and previously installed at Brock Hall.,Student Union Building,,,49.268544,-123.250477
The Pacific Rim,1969,In place,,,Student Union Bldg,,,49.267347,-123.250027
George VI,1958,In place,,The statue is a replica of one at Buckingham Palace in London.,Woodward Bio-Medical Library,,,49.264482,-123.247892
Untitled,1971,In place,A ceramic tile mosaic of abstract natural forms covers the wall near the south entrance of the building.,,MacDonald (Dentistry) Bldg,,,49.263887,-123.247513
